"id_ciudad","cod_pais","ciudad","latitud","longitud","id_departamento"
395,CO,La Unión,5.974426,-75.360124,1
396,CO,Chigorodo,7.667944,-76.679289,1
398,CO,Carepa,7.754927,-76.65649,1
399,CO,Turbo,8.094898,-76.730951,1
400,CO,Currulao,7.996976,-76.63567,1
401,CO,Buriticá,6.721917,-75.905976,1
402,CO,Peñol,6.2188414,-75.2519497,1
403,CO,Guacarí,3.7629809,-76.3412263,24
404,CO,El Cerrito,3.6835284,-76.3193272,24
405,CO,Ginebra,3.7252451,-76.2736558,24
406,CO,Restrepo,3.810479,-76.59237,24
407,CO,Rozo,3.6157673,-76.3902837,24
408,GT,Cahabón,14.9696418,-89.5424891,108
409,GT,Chahal,14.9696418,-89.5424891,108
410,GT,Chisec,14.9696418,-89.5424891,108
411,GT,Cobán,14.9696418,-89.5424891,108
412,GT,Fray Bartolomé de las Casas,14.9696418,-89.5424891,108
413,GT,Lanquín,14.9696418,-89.5424891,108
414,GT,Panzós,14.9696418,-89.5424891,108
415,GT,Raxruha,14.9696418,-89.5424891,108
416,GT,San Cristóbal Verapaz,14.9696418,-89.5424891,108
417,GT,San Juan Chamelco,14.9696418,-89.5424891,108
418,GT,San Pedro Carchá,14.9696418,-89.5424891,108
419,GT,Santa Cruz Verapaz,14.9696418,-89.5424891,108
420,GT,Senahú,14.9696418,-89.5424891,108
421,GT,Tactic,14.9696418,-89.5424891,108
422,GT,Tamahú,14.9696418,-89.5424891,108
423,GT,Tucurú,14.9696418,-89.5424891,108
424,GT,Santa Catarina La Tinta,14.9696418,-89.5424891,108
425,GT,Cubulco,14.9696418,-89.5424891,109
426,GT,Granados,14.9696418,-89.5424891,109
427,GT,Purulhá,14.9696418,-89.5424891,109
428,GT,Rabinal,14.9696418,-89.5424891,109
429,GT,Salamá,14.9696418,-89.5424891,109
430,GT,San Jerónimo,14.9696418,-89.5424891,109
431,GT,San Miguel Chicaj,14.9696418,-89.5424891,109
432,GT,Santa Cruz El Chol,14.9696418,-89.5424891,109
433,GT,Acatenango,14.9696418,-89.5424891,110
434,GT,Chimaltenango,14.9696418,-89.5424891,110
435,GT,El Tejar,14.9696418,-89.5424891,110
436,GT,Parramos,14.9696418,-89.5424891,110
437,GT,Patzicía,14.9696418,-89.5424891,110
438,GT,Patzún,14.9696418,-89.5424891,110
439,GT,Pochuta,14.9696418,-89.5424891,110
440,GT,San Andrés Itzapa,14.9696418,-89.5424891,110
441,GT,San José Poaquil,14.9696418,-89.5424891,110
442,GT,San Juan Comalapa,14.9696418,-89.5424891,110
443,GT,San Martín Jilotepeque,14.9696418,-89.5424891,110
444,GT,Santa Apolonia,14.9696418,-89.5424891,110
445,GT,Santa Cruz Balanyá,14.9696418,-89.5424891,110
446,GT,Tecpán Guatemala,14.9696418,-89.5424891,110
447,GT,Yepocapa,14.9696418,-89.5424891,110
448,GT,Zaragoza,14.9696418,-89.5424891,110
449,GT,Camotán,14.9696418,-89.5424891,111
450,GT,Chiquimula,14.9696418,-89.5424891,111
451,GT,Concepción Las Minas,14.9696418,-89.5424891,111
452,GT,Esquipulas,14.9696418,-89.5424891,111
453,GT,Ipala,14.9696418,-89.5424891,111
454,GT,Jocotán,14.9696418,-89.5424891,111
455,GT,Olopa,14.9696418,-89.5424891,111
456,GT,Quezaltepeque,14.9696418,-89.5424891,111
457,GT,San Jacinto,14.9696418,-89.5424891,111
458,GT,San José La Arada,14.9696418,-89.5424891,111
459,GT,San Juan Ermita,14.9696418,-89.5424891,111
460,GT,El Jícaro,14.9696418,-89.5424891,112
461,GT,Guastatoya,14.9696418,-89.5424891,112
462,GT,Morazán,14.9696418,-89.5424891,112
463,GT,San Agustín Acasaguastlán,14.9696418,-89.5424891,112
464,GT,San Antonio La Paz,14.9696418,-89.5424891,112
465,GT,San Cristóbal Acasaguastlán,14.9696418,-89.5424891,112
466,GT,Sanarate,14.9696418,-89.5424891,112
467,GT,Sansare,14.9696418,-89.5424891,112
468,GT,Escuintla,14.9696418,-89.5424891,113
469,GT,Guanagazapa,14.9696418,-89.5424891,113
470,GT,Iztapa,14.9696418,-89.5424891,113
471,GT,La Democracia,14.9696418,-89.5424891,113
472,GT,La Gomera,14.9696418,-89.5424891,113
473,GT,Masagua,14.9696418,-89.5424891,113
474,GT,Nueva Concepción,14.9696418,-89.5424891,113
475,GT,Palín,14.9696418,-89.5424891,113
476,GT,San José,14.9696418,-89.5424891,113
477,GT,San Vicente Pacaya,14.9696418,-89.5424891,113
478,GT,Santa Lucía Cotzumalguapa,14.9696418,-89.5424891,113
479,GT,Siquinalá,14.9696418,-89.5424891,113
480,GT,Tiquisate,14.9696418,-89.5424891,113
481,GT,Amatitlán,14.9696418,-89.5424891,76
482,GT,Chinautla,14.9696418,-89.5424891,76
483,GT,Chuarrancho,14.9696418,-89.5424891,76
484,GT,Fraijanes,14.9696418,-89.5424891,76
485,GT,Mixco,14.9696418,-89.5424891,76
486,GT,Palencia,14.9696418,-89.5424891,76
487,GT,Petapa,14.9696418,-89.5424891,76
488,GT,San José del Golfo,14.9696418,-89.5424891,76
489,GT,San José Pinula,14.9696418,-89.5424891,76
490,GT,San Juan Sacatepéquez,14.9696418,-89.5424891,76
491,GT,San Pedro Ayampuc,14.9696418,-89.5424891,76
492,GT,San Pedro Sacatepéquez,14.9696418,-89.5424891,76
493,GT,San Raymundo,14.9696418,-89.5424891,76
494,GT,Santa Catarina Pinula,14.9696418,-89.5424891,76
495,GT,Villa Canales,14.9696418,-89.5424891,76
496,GT,Villa Nueva,14.9696418,-89.5424891,76
497,GT,Aguacatán,14.9696418,-89.5424891,114
498,GT,Chiantla,14.9696418,-89.5424891,114
499,GT,Colotenango,14.9696418,-89.5424891,114
500,GT,Concepción Huista,14.9696418,-89.5424891,114
501,GT,Cuilco,14.9696418,-89.5424891,114
502,GT,Huehuetenango,14.9696418,-89.5424891,114
503,GT,Ixtahuacán,14.9696418,-89.5424891,114
504,GT,Jacaltenango,14.9696418,-89.5424891,114
505,GT,La Democracia,14.9696418,-89.5424891,114
506,GT,La Libertad,14.9696418,-89.5424891,114
507,GT,Malacatancito,14.9696418,-89.5424891,114
508,GT,Nentón,14.9696418,-89.5424891,114
509,GT,San Antonio Huista,14.9696418,-89.5424891,114
510,GT,San Gaspar Ixchil,14.9696418,-89.5424891,114
511,GT,San Juan Atitán,14.9696418,-89.5424891,114
512,GT,San Juan Ixcoy,14.9696418,-89.5424891,114
513,GT,San Mateo Ixtatán,14.9696418,-89.5424891,114
514,GT,San Miguel Acatán,14.9696418,-89.5424891,114
515,GT,San Pedro Necta,14.9696418,-89.5424891,114
516,GT,San Rafael La Independencia,14.9696418,-89.5424891,114
517,GT,San Rafael Petzal,14.9696418,-89.5424891,114
518,GT,San Sebastián Coatán,14.9696418,-89.5424891,114
519,GT,San Sebastián Huehuetenango,14.9696418,-89.5424891,114
520,GT,Santa Ana Huista,14.9696418,-89.5424891,114
521,GT,Santa Bárbara,14.9696418,-89.5424891,114
522,GT,Santa Cruz Barillas,14.9696418,-89.5424891,114
523,GT,Santa Eulalia,14.9696418,-89.5424891,114
524,GT,Santiago Chimaltenango,14.9696418,-89.5424891,114
525,GT,Soloma,14.9696418,-89.5424891,114
526,GT,Tectitán,14.9696418,-89.5424891,114
527,GT,Todos Santos Cuchumatan,14.9696418,-89.5424891,114
528,GT,La Unión Cantinil,14.9696418,-89.5424891,114
529,GT,El Estor,14.9696418,-89.5424891,115
530,GT,Livingston,14.9696418,-89.5424891,115
531,GT,Los Amates,14.9696418,-89.5424891,115
532,GT,Morales,14.9696418,-89.5424891,115
533,GT,Puerto Barrios,14.9696418,-89.5424891,115
534,GT,Jalapa,14.9696418,-89.5424891,116
535,GT,Mataquescuintla,14.9696418,-89.5424891,116
536,GT,Monjas,14.9696418,-89.5424891,116
537,GT,San Carlos Alzatate,14.9696418,-89.5424891,116
538,GT,San Luis Jilotepeque,14.9696418,-89.5424891,116
539,GT,San Manuel Chaparrón,14.9696418,-89.5424891,116
540,GT,San Pedro Pinula,14.9696418,-89.5424891,116
541,GT,Agua Blanca,14.9696418,-89.5424891,117
542,GT,Asunción Mita,14.9696418,-89.5424891,117
543,GT,Atescatempa,14.9696418,-89.5424891,117
544,GT,Comapa,14.9696418,-89.5424891,117
545,GT,Conguaco,14.9696418,-89.5424891,117
546,GT,El Adelanto,14.9696418,-89.5424891,117
547,GT,El Progreso,14.9696418,-89.5424891,117
548,GT,Jalpatagua,14.9696418,-89.5424891,117
549,GT,Jerez,14.9696418,-89.5424891,117
550,GT,Jutiapa,14.9696418,-89.5424891,117
551,GT,Moyuta,14.9696418,-89.5424891,117
552,GT,Pasaco,14.9696418,-89.5424891,117
553,GT,Quezada,14.9696418,-89.5424891,117
554,GT,San José Acatempa,14.9696418,-89.5424891,117
555,GT,Santa Catarina Mita,14.9696418,-89.5424891,117
556,GT,Yupiltepeque,14.9696418,-89.5424891,117
557,GT,Zapotitlán,14.9696418,-89.5424891,117
558,GT,Dolores,14.9696418,-89.5424891,118
559,GT,Flores,14.9696418,-89.5424891,118
560,GT,La Libertad,14.9696418,-89.5424891,118
561,GT,Melchor de Mencos,14.9696418,-89.5424891,118
562,GT,Poptún,14.9696418,-89.5424891,118
563,GT,San Andrés,14.9696418,-89.5424891,118
564,GT,San Benito,14.9696418,-89.5424891,118
565,GT,San Francisco,14.9696418,-89.5424891,118
566,GT,San José,14.9696418,-89.5424891,118
567,GT,San Luis,14.9696418,-89.5424891,118
568,GT,Santa Ana,14.9696418,-89.5424891,118
569,GT,Sayaxché,14.9696418,-89.5424891,118
570,GT,Las Cruces,14.9696418,-89.5424891,118
571,GT,Almolonga,14.9696418,-89.5424891,119
572,GT,Cabricán,14.9696418,-89.5424891,119
573,GT,Cajolá,14.9696418,-89.5424891,119
574,GT,Cantel,14.9696418,-89.5424891,119
575,GT,Coatepeque,14.9696418,-89.5424891,119
576,GT,Colomba,14.9696418,-89.5424891,119
577,GT,Concepción Chiquirichapa,14.9696418,-89.5424891,119
578,GT,El Palmar,14.9696418,-89.5424891,119
579,GT,Flores Costa Cuca,14.9696418,-89.5424891,119
580,GT,Génova,14.9696418,-89.5424891,119
581,GT,Huitán,14.9696418,-89.5424891,119
582,GT,La Esperanza,14.9696418,-89.5424891,119
583,GT,Olintepeque,14.9696418,-89.5424891,119
584,GT,Ostuncalco,14.9696418,-89.5424891,119
585,GT,Palestina de Los Altos,14.9696418,-89.5424891,119
586,GT,Quetzaltenango,14.9696418,-89.5424891,119
587,GT,Salcajá,14.9696418,-89.5424891,119
588,GT,San Carlos Sija,14.9696418,-89.5424891,119
589,GT,San Francisco La Unión,14.9696418,-89.5424891,119
590,GT,San Martín Sacatepéquez,14.9696418,-89.5424891,119
591,GT,San Mateo,14.9696418,-89.5424891,119
592,GT,San Miguel Sigüilá,14.9696418,-89.5424891,119
593,GT,Sibilia,14.9696418,-89.5424891,119
594,GT,Zunil,14.9696418,-89.5424891,119
595,GT,Canillá,14.9696418,-89.5424891,120
596,GT,Chajul,14.9696418,-89.5424891,120
